Date,HomeTeam_original,AwayTeam_original,Prediction,B365H,B365D,B365A,Bookie_Prob,ValueBet
16/08/2024,Man United,Fulham,H,,,,,False
17/08/2024,Ipswich,Liverpool,A,,,,,False
17/08/2024,Arsenal,Wolves,H,,,,,False
17/08/2024,Everton,Brighton,A,,,,,False
17/08/2024,Newcastle,Southampton,H,,,,,False
17/08/2024,Nott'm Forest,Bournemouth,D,,,,,False
17/08/2024,West Ham,Aston Villa,A,,,,,False
18/08/2024,Brentford,Crystal Palace,H,,,,,False
18/08/2024,Chelsea,Man City,A,2.4,3.4,2.9,0.3266613290632506,True
19/08/2024,Leicester,Tottenham,D,,,,,False
24/08/2024,Brighton,Man United,H,,,,,False
24/08/2024,Crystal Palace,West Ham,A,,,,,False
24/08/2024,Fulham,Leicester,H,,,,,False
24/08/2024,Man City,Ipswich,H,,,,,False
24/08/2024,Southampton,Nott'm Forest,A,,,,,False
24/08/2024,Tottenham,Everton,H,,,,,False
24/08/2024,Aston Villa,Arsenal,A,4.33,3.8,1.75,0.5362840799830516,False
25/08/2024,Bournemouth,Newcastle,D,,,,,False
25/08/2024,Wolves,Chelsea,A,,,,,False
25/08/2024,Liverpool,Brentford,H,,,,,False
31/08/2024,Arsenal,Brighton,D,,,,,False
31/08/2024,Brentford,Southampton,H,,,,,False
31/08/2024,Everton,Bournemouth,A,,,,,False
31/08/2024,Ipswich,Fulham,D,,,,,False
31/08/2024,Leicester,Aston Villa,A,,,,,False
31/08/2024,Nott'm Forest,Wolves,D,,,,,False
31/08/2024,West Ham,Man City,A,,,,,False
01/09/2024,Chelsea,Crystal Palace,D,,,,,False
01/09/2024,Newcastle,Tottenham,H,,,,,False
01/09/2024,Man United,Liverpool,A,,,,,False
14/09/2024,Southampton,Man United,A,,,,,False
14/09/2024,Brighton,Ipswich,D,,,,,False
14/09/2024,Crystal Palace,Leicester,D,,,,,False
14/09/2024,Fulham,West Ham,D,,,,,False
14/09/2024,Liverpool,Nott'm Forest,A,,,,,False
14/09/2024,Man City,Brentford,H,,,,,False
14/09/2024,Aston Villa,Everton,H,,,,,False
14/09/2024,Bournemouth,Chelsea,A,,,,,False
15/09/2024,Tottenham,Arsenal,A,,,,,False
15/09/2024,Wolves,Newcastle,A,,,,,False
21/09/2024,West Ham,Chelsea,A,,,,,False
21/09/2024,Aston Villa,Wolves,H,,,,,False
21/09/2024,Fulham,Newcastle,H,,,,,False
21/09/2024,Leicester,Everton,D,,,,,False
21/09/2024,Liverpool,Bournemouth,H,,,,,False
21/09/2024,Southampton,Ipswich,D,,,,,False
21/09/2024,Tottenham,Brentford,H,,,,,False
21/09/2024,Crystal Palace,Man United,D,,,,,False
22/09/2024,Brighton,Nott'm Forest,D,,,,,False
22/09/2024,Man City,Arsenal,D,,,,,False
28/09/2024,Newcastle,Man City,D,2.7,3.3,2.63,0.28760631834750905,True
28/09/2024,Arsenal,Leicester,H,,,,,False
28/09/2024,Brentford,West Ham,D,,,,,False
28/09/2024,Chelsea,Brighton,H,,,,,False
28/09/2024,Everton,Crystal Palace,H,,,,,False
28/09/2024,Nott'm Forest,Fulham,A,,,,,False
28/09/2024,Wolves,Liverpool,A,1.55,4.5,5.0,0.18737407656145066,True
29/09/2024,Ipswich,Aston Villa,D,,,,,False
29/09/2024,Man United,Tottenham,A,,,,,False
30/09/2024,Bournemouth,Southampton,H,,,,,False
05/10/2024,Crystal Palace,Liverpool,A,,,,,False
05/10/2024,Arsenal,Southampton,H,,,,,False
05/10/2024,Brentford,Wolves,H,,,,,False
05/10/2024,Leicester,Bournemouth,H,,,,,False
05/10/2024,Man City,Fulham,H,,,,,False
05/10/2024,West Ham,Ipswich,H,,,,,False
05/10/2024,Everton,Newcastle,D,,,,,False
06/10/2024,Aston Villa,Man United,D,,,,,False
06/10/2024,Chelsea,Nott'm Forest,D,,,,,False
06/10/2024,Brighton,Tottenham,H,,,,,False
19/10/2024,Tottenham,West Ham,H,,,,,False
19/10/2024,Fulham,Aston Villa,A,,,,,False
19/10/2024,Ipswich,Everton,A,,,,,False
19/10/2024,Man United,Brentford,H,,,,,False
19/10/2024,Newcastle,Brighton,A,,,,,False
19/10/2024,Southampton,Leicester,A,,,,,False
19/10/2024,Bournemouth,Arsenal,H,,,,,False
20/10/2024,Wolves,Man City,A,,,,,False
20/10/2024,Liverpool,Chelsea,H,,,,,False
21/10/2024,Nott'm Forest,Crystal Palace,H,,,,,False
25/10/2024,Leicester,Nott'm Forest,A,,,,,False
26/10/2024,Aston Villa,Bournemouth,D,,,,,False
26/10/2024,Brentford,Ipswich,H,,,,,False
26/10/2024,Brighton,Wolves,D,,,,,False
26/10/2024,Man City,Southampton,H,,,,,False
26/10/2024,Everton,Fulham,D,,,,,False
27/10/2024,Chelsea,Newcastle,H,,,,,False
27/10/2024,Crystal Palace,Tottenham,H,,,,,False
27/10/2024,West Ham,Man United,H,,,,,False
27/10/2024,Arsenal,Liverpool,D,,,,,False
02/11/2024,Newcastle,Arsenal,H,,,,,False
02/11/2024,Bournemouth,Man City,H,,,,,False
02/11/2024,Ipswich,Leicester,D,,,,,False
02/11/2024,Liverpool,Brighton,H,,,,,False
02/11/2024,Nott'm Forest,West Ham,H,,,,,False
02/11/2024,Southampton,Everton,H,,,,,False
02/11/2024,Wolves,Crystal Palace,D,,,,,False
03/11/2024,Tottenham,Aston Villa,H,,,,,False
03/11/2024,Man United,Chelsea,D,,,,,False
04/11/2024,Fulham,Brentford,H,,,,,False
09/11/2024,Brentford,Bournemouth,H,,,,,False
09/11/2024,Crystal Palace,Fulham,A,,,,,False
09/11/2024,West Ham,Everton,D,,,,,False
09/11/2024,Wolves,Southampton,H,,,,,False
09/11/2024,Brighton,Man City,H,,,,,False
09/11/2024,Liverpool,Aston Villa,H,,,,,False
10/11/2024,Man United,Leicester,H,,,,,False
10/11/2024,Nott'm Forest,Newcastle,A,,,,,False
10/11/2024,Tottenham,Ipswich,A,,,,,False
10/11/2024,Chelsea,Arsenal,D,,,,,False
23/11/2024,Leicester,Chelsea,A,,,,,False
23/11/2024,Arsenal,Nott'm Forest,H,,,,,False
23/11/2024,Aston Villa,Crystal Palace,D,,,,,False
23/11/2024,Bournemouth,Brighton,A,,,,,False
23/11/2024,Everton,Brentford,D,,,,,False
23/11/2024,Fulham,Wolves,A,,,,,False
23/11/2024,Man City,Tottenham,A,,,,,False
24/11/2024,Southampton,Liverpool,A,,,,,False
24/11/2024,Ipswich,Man United,D,,,,,False
25/11/2024,Newcastle,West Ham,A,,,,,False
29/11/2024,Brighton,Southampton,D,,,,,False
30/11/2024,Brentford,Leicester,H,,,,,False
